Population,avg_observed_ho,avg_expected_hs,avg_allelic_richness
W1-TX,0.21199775026322462,0.2429596113606381,1.8690407964707927
W2-LA,0.21297319841132295,0.24242352760858754,1.8577431416690766
W3-FL,0.21122434127227466,0.24413483826685115,1.8680810439404583
W4-VA,0.22156388692673554,0.26617058016020473,1.9429096381658848
S1-LOLA,0.23778597846223504,0.250330879236582,1.8212750227850856
S2-DEBY,0.24013585051511682,0.26861893017552874,1.8991111914326964
W5-NH,0.21040103423918147,0.23813659487411556,1.8327649877506256
W6-ME,0.21376595473868132,0.24478605509721807,1.8722927856486002
SEEDMIX,0.2328951600005317,0.28813874665138434,1.9528310854156516
HYBRIDMIX,0.25057662965973976,0.2812702416334559,1.956270282097634
