"resid_surv","dist","surv","t","pop","bag_site"
0.00447709173837782,0.639991809587732,0.921003717472119,1,"S1-LOLA","Lewisetta"
0.00502509840419339,0.639991809587732,0.921551724137931,1,"S1-LOLA","Lewisetta"
0.0302242767933385,0.639991809587732,0.946750902527076,1,"S1-LOLA","Lewisetta"
-0.019917819779096,1.16009953843626,0.780377358490566,1,"S2-DEBY","Lewisetta"
-0.154725558016497,1.16009953843626,0.645569620253165,1,"S2-DEBY","Lewisetta"
0.124160647594615,1.16009953843626,0.924455825864277,1,"S2-DEBY","Lewisetta"
0.0414615543204448,3.30346437804724,0.962491153573956,1,"W1-TX","Lewisetta"
-0.0378585283216611,3.30346437804724,0.88317107093185,1,"W1-TX","Lewisetta"
-0.0294803034788631,3.30346437804724,0.891549295774648,1,"W1-TX","Lewisetta"
0.0424547291809936,2.04729590526288,0.960979342004591,1,"W2-LA","Lewisetta"
-0.0425098526759964,2.04729590526288,0.876014760147601,1,"W2-LA","Lewisetta"
0.0225731114066565,2.04729590526288,0.941097724230254,1,"W2-LA","Lewisetta"
0.0544434242848757,3.96491180248768,0.752730109204368,1,"W3-FL","Lewisetta"
0.234635443068172,3.96491180248768,0.932922127987664,1,"W3-FL","Lewisetta"
0.145639300599414,3.96491180248768,0.843925985518906,1,"W3-FL","Lewisetta"
-0.229763215304789,0.608393951442816,0.532520325203252,1,"W4-VA","Lewisetta"
-0.0776446798773194,0.608393951442816,0.684638860630722,1,"W4-VA","Lewisetta"
0.116353200971593,0.608393951442816,0.878636741479634,1,"W4-VA","Lewisetta"
-0.113630224118774,2.12446081892112,0.541208791208791,1,"W5-NH","Lewisetta"
-0.0299525484792451,2.12446081892112,0.62488646684832,1,"W5-NH","Lewisetta"
-0.0921212452927222,2.12446081892112,0.562717770034843,1,"W5-NH","Lewisetta"
0.257524103096077,3.69458206026551,0.837316885119507,1,"W6-ME","Lewisetta"
-0.0395277463455498,3.69458206026551,0.54026503567788,1,"W6-ME","Lewisetta"
-0.211840259768237,3.69458206026551,0.367952522255193,1,"W6-ME","Lewisetta"
-0.0308214349534211,0.639991809587732,0.860344827586207,2,"S1-LOLA","Lewisetta"
-0.0249952588221532,0.639991809587732,0.866171003717472,2,"S1-LOLA","Lewisetta"
-0.0102998365468453,0.639991809587732,0.88086642599278,2,"S1-LOLA","Lewisetta"
-0.123706349039268,1.16009953843626,0.622251832111925,2,"S2-DEBY","Lewisetta"
0.0562185153917013,1.16009953843626,0.802176696542894,2,"S2-DEBY","Lewisetta"
0.0449852150752223,1.16009953843626,0.790943396226415,2,"S2-DEBY","Lewisetta"
-0.038208092116126,3.30346437804724,0.879577464788732,2,"W1-TX","Lewisetta"
0.031966743165913,3.30346437804724,0.949752300070771,2,"W1-TX","Lewisetta"
-0.053390563858961,3.30346437804724,0.864394993045897,2,"W1-TX","Lewisetta"
-0.00184868982772032,2.04729590526288,0.914323962516734,2,"W2-LA","Lewisetta"
0.105967569057756,2.04729590526288,1.02214022140221,2,"W2-LA","Lewisetta"
0.0218533614275427,2.04729590526288,0.938026013771997,2,"W2-LA","Lewisetta"
0.0903267199610577,3.96491180248768,0.709828393135726,2,"W3-FL","Lewisetta"
0.257136723124484,3.96491180248768,0.876638396299152,2,"W3-FL","Lewisetta"
0.123861158683739,3.96491180248768,0.743362831858407,2,"W3-FL","Lewisetta"
-0.0210954373653782,0.608393951442816,0.659206510681587,2,"W4-VA","Lewisetta"
0.0387337959264348,0.608393951442816,0.7190357439734,2,"W4-VA","Lewisetta"
-0.179285687884363,0.608393951442816,0.501016260162602,2,"W4-VA","Lewisetta"
-0.0867176094702727,2.12446081892112,0.494773519163763,2,"W5-NH","Lewisetta"
-0.106216403359311,2.12446081892112,0.475274725274725,2,"W5-NH","Lewisetta"
-0.0928444438020647,2.12446081892112,0.488646684831971,2,"W5-NH","Lewisetta"
-0.00315180713789088,3.69458206026551,0.500509683995923,2,"W6-ME","Lewisetta"
-0.173295516850926,3.69458206026551,0.330365974282888,2,"W6-ME","Lewisetta"
0.174827329220851,3.69458206026551,0.678488820354665,2,"W6-ME","Lewisetta"
-0.107436653297228,0.639991809587732,0.743191489361702,3,"S1-LOLA","Lewisetta"
-0.072917156342381,0.639991809587732,0.777710986316539,3,"S1-LOLA","Lewisetta"
-0.074716014231237,0.639991809587732,0.775912128427683,3,"S1-LOLA","Lewisetta"
-0.0911470696235572,1.16009953843626,0.548111188285824,3,"S2-DEBY","Lewisetta"
0.104565106201418,1.16009953843626,0.743823364110799,3,"S2-DEBY","Lewisetta"
0.0400317957588569,1.16009953843626,0.679290053668238,3,"S2-DEBY","Lewisetta"
-0.157960407298575,3.30346437804724,0.651261612226551,3,"W1-TX","Lewisetta"
0.0233268052177628,3.30346437804724,0.832548824742889,3,"W1-TX","Lewisetta"
-0.0367839406330482,3.30346437804724,0.772438078892078,3,"W1-TX","Lewisetta"
0.160162838913457,2.04729590526288,0.961246761403784,3,"W2-LA","Lewisetta"
0.112992490930044,2.04729590526288,0.914076413420371,3,"W2-LA","Lewisetta"
0.0898955984302353,2.04729590526288,0.890979520920562,3,"W2-LA","Lewisetta"
0.393898483384394,3.96491180248768,0.845329882145611,3,"W3-FL","Lewisetta"
0.164760057407668,3.96491180248768,0.616191456168885,3,"W3-FL","Lewisetta"
0.225503265143886,3.96491180248768,0.676934663905103,3,"W3-FL","Lewisetta"
-0.0155596412972998,0.608393951442816,0.597493560745438,3,"W4-VA","Lewisetta"
-0.154676623596103,0.608393951442816,0.458376578446635,3,"W4-VA","Lewisetta"
