X,PC1,PC2,PC3,PC4,PC5,PC6,Plate,SpawnTrt_Label,bags_label,clean_ID,SpawnTrt_Label_check,bags_label_check,Label_ind,extractPlateWell,extraction_key
44,0.06609938,0.004252301,0.045916363,0.105544473,0.016987213,0.005160825,PlDNA_13,ME-HogIs,MVP-ME-3,D9_CviMVPe_PlDNA_13_70091_86f9a7c8,ME-HogIs,MVP-ME-3,70091,D9,b3da2ab3
160,0.066739026,0.007042588,0.052057517,0.127891707,0.026705516,0.005230083,PlDNA_11,ME-HogIs,MVP-ME-5,H2_CviMVPe_PlDNA_11_70362_8ba2ada8,ME-HogIs,MVP-ME-5,70362,H2,627dcbab
132,0.066983951,0.002007732,0.047097871,0.1315194,0.020554348,0.006097918,PlDNA_13,ME-HogIs,MVP-ME-1,B1_CviMVPe_PlDNA_13_70275_2145f353,ME-HogIs,MVP-ME-1,70275,B1,c6110081
12,0.066986247,0.006418252,0.048163931,0.116204386,0.019756867,0.004377503,PlDNA_12,ME-HogIs,MVP-ME-3,G6_CviMVPe_PlDNA_12_70031_f17ae22d,ME-HogIs,MVP-ME-3,70031,C6,8be2d9b0
220,0.067376826,0.006542661,0.069804744,0.2249942,0.064689705,0.014631826,PlDNA_12,ME-HogIs,MVP-ME-4,E1_CviMVPe_PlDNA_12_70591_25421f76,ME-HogIs,MVP-ME-4,70591,E1,9f05a6b0
159,0.067562144,0.006829249,0.058205669,0.179815773,0.052258524,0.014681773,PlDNA_13,ME-HogIs,MVP-ME-5,B5_CviMVPe_PlDNA_13_70361_dfcf25ac,ME-HogIs,MVP-ME-5,70361,B5,4437db5b
144,0.067800336,0.006016877,0.045553738,0.10429293,0.006360982,0.004438072,PlDNA_12,ME-HogIs,MVP-ME-2,E7_CviMVPe_PlDNA_12_70309_90aefaf2,ME-HogIs,MVP-ME-2,70309,E7,01c0d07a
129,0.067966847,0.000928209,0.057101352,0.14427482,0.027554658,0.008822453,PlDNA_11,ME-HogIs,MVP-ME-2,G11_CviMVPe_PlDNA_11_70265_41f66b9c,ME-HogIs,MVP-ME-2,70265,G11,b039c668
135,0.068286413,0.009904095,0.060715864,0.204935628,0.061627768,0.015915325,PlDNA_13,ME-HogIs,MVP-ME-2,D8_CviMVPe_PlDNA_13_70283_3f53ca93,ME-HogIs,MVP-ME-2,70283,D8,48af20f1
219,0.068884713,0.002821913,0.057660315,0.154790317,0.032913335,0.011212894,PlDNA_11,ME-HogIs,MVP-ME-4,H1_CviMVPe_PlDNA_11_70590_844eb01c,ME-HogIs,MVP-ME-4,70590,H1,205126a0
