X,PC1,PC2,PC3,PC4,PC5,PC6,Plate,SpawnTrt_Label,bags_label,clean_ID,SpawnTrt_Label_check,bags_label_check,Label_ind,extractPlateWell,extraction_key
118,0.052687994,0.013822718,0.029077521,-0.065094052,-0.116255743,-0.036205827,PlDNA_11,VA-JR-DeepWatSh,MVP-JR-3,E6_CviMVPe_PlDNA_11_70247_2c8cad06,VA-JR-DeepWatSh,MVP-JR-3,70247,E6,ab20abe6
136,0.052803563,0.011769526,0.023506413,-0.057477936,-0.098265989,-0.030391418,PlDNA_13,VA-JR-DeepWatSh,MVP-JR-1,D1_CviMVPe_PlDNA_13_70286_6b5d52a4,VA-JR-DeepWatSh,MVP-JR-1,70286,D1,4b084269
196,0.053004025,0.013829578,0.039551518,-0.080364269,0.084081794,0.025371783,PlDNA_12,Poly-NoOutcross,MVP-SEEDMIX-4,G2_CviMVPe_PlDNA_12_70461_fdcd6de6,Poly-NoOutcross,MVP-SEEDMIX-4,70461,D11,476fe59b
215,0.053010632,0.015777877,0.038867097,-0.081293426,0.089055335,0.025341709,PlDNA_12,Poly-NoOutcross,MVP-SEEDMIX-4,F8_CviMVPe_PlDNA_12_70582_5cfce921,Poly-NoOutcross,MVP-SEEDMIX-4,70582,F11,2284294a
249,0.05307866,0.012059662,0.020979811,-0.036596904,-0.060542327,-0.016914804,PlDNA_12,VA-JR-DeepWatSh,MVP-JR-5,D1_CviMVPe_PlDNA_12_70648_fafab11f,VA-JR-DeepWatSh,MVP-JR-5,70648,D1,5cc25763
84,0.053267513,0.014741817,0.039086156,-0.074370247,0.073320936,0.020080841,PlDNA_12,FL-KingPlan,MVP-FL-2,A1_CviMVPe_PlDNA_12_70180_8da93788,FL-KingPlan,MVP-FL-2,70180,A1,87c1b6dc
250,0.053470056,0.015130587,0.028213144,-0.071883122,-0.130902369,-0.038804775,PlDNA_12,VA-JR-DeepWatSh,MVP-JR-5,E9_CviMVPe_PlDNA_12_70649_fbdfed92,VA-JR-DeepWatSh,MVP-JR-5,70649,E9,b6024659
251,0.053496491,0.018816956,0.042485854,-0.102843332,0.108023287,0.030258361,PlDNA_13,FL-KingPlan,MVP-FL-5,C9_CviMVPe_PlDNA_13_70650_8d4e7ff5,FL-KingPlan,MVP-FL-5,70650,C9,33df9845
240,0.053853151,0.014084781,0.028530499,-0.073509414,-0.131532937,-0.039130428,PlDNA_11,VA-JR-DeepWatSh,MVP-JR-4,E7_CviMVPe_PlDNA_11_70631_60d39db1,VA-JR-DeepWatSh,MVP-JR-4,70631,E7,9280383e
86,0.053892555,0.020117555,0.045968645,-0.106953205,0.115001815,0.034368443,PlDNA_11,FL-KingPlan,MVP-FL-2,A8_CviMVPe_PlDNA_11_70182_a5e8d0b5,FL-KingPlan,MVP-FL-2,70182,C2,2d170505
96,0.054177224,0.017206772,0.040568815,-0.100783139,0.112782782,0.033946945,PlDNA_12,FL-KingPlan,MVP-FL-2,H1_CviMVPe_PlDNA_12_70199_7b92457f,FL-KingPlan,MVP-FL-2,70199,H1,ed933b27
241,0.054279847,0.012729678,0.019686977,-0.051747486,-0.084030171,-0.024275463,PlDNA_12,VA-JR-DeepWatSh,MVP-JR-4,B5_CviMVPe_PlDNA_12_70632_bb9d57f2,VA-JR-DeepWatSh,MVP-JR-4,70632,C7,3e94ca1d
227,0.054356803,0.02001066,0.044687749,-0.105426966,0.113816467,0.032129658,PlDNA_12,FL-KingPlan,MVP-FL-5,B7_CviMVPe_PlDNA_12_70602_87308c17,FL-KingPlan,MVP-FL-5,70602,B8,0fc0abc9
