"","S1-LOLA","S2-DEBY","W1-TX","W2-LA","W3-FL","W4-VA","W5-NH","W6-ME"
"S1-LOLA",NA,0.0809140146670727,0.0465046381491656,0.0463864578593649,0.100803604446664,0.0828313331213358,0.108797021534012,0.11795010894456
"S2-DEBY",0.0809140146670727,NA,0.105247832653766,0.105475028468512,0.0727525079663331,0.0495051755264286,0.0734447731052296,0.0876686882117442
"W1-TX",0.0465046381491656,0.105247832653766,NA,0.00228984914169857,0.123869449638193,0.107387921837017,0.134298794978755,0.145556223243728
"W2-LA",0.0463864578593649,0.105475028468512,0.00228984914169857,NA,0.124871018707785,0.108144407352966,0.135028720784443,0.14618906321429
"W3-FL",0.100803604446664,0.0727525079663331,0.123869449638193,0.124871018707785,NA,0.0298216823268766,0.0550476536508102,0.0631575800047684
"W4-VA",0.0828313331213358,0.0495051755264286,0.107387921837017,0.108144407352966,0.0298216823268766,NA,0.0295837112559738,0.0445466491371542
"W5-NH",0.108797021534012,0.0734447731052296,0.134298794978755,0.135028720784443,0.0550476536508102,0.0295837112559738,NA,0.0606554248734022
"W6-ME",0.11795010894456,0.0876686882117442,0.145556223243728,0.14618906321429,0.0631575800047684,0.0445466491371542,0.0606554248734022,NA
