"","PC1","PC2","PC3","PC4","PC5","PC6","Plate","ID_SiteDate"
"1",-0.0764584149399937,-0.164639463412425,-0.252479902646842,-0.0321733082429016,-0.0564761910802801,-0.558672058367742,"PlDNA_7","ME-HogIs"
"2",-0.0798617779461812,-0.0806780781982959,-0.0922619054051774,-0.0295195303764428,0.000449897762272319,0.196804741504449,"PlDNA_6","ME-HogIs"
"3",-0.0776053811717991,-0.0784554427454474,-0.0781008252016598,-0.00925217158580076,-0.0108727317269341,0.145340685265386,"PlDNA_7","ME-HogIs"
"4",-0.0819406126124914,-0.103219088720175,-0.128715263265584,-0.0217588949433262,-0.00294948965521745,0.0966274116727677,"PlDNA_6","ME-HogIs"
"5",-0.0819101897553841,-0.104733546508408,-0.14485731291156,-0.01890377452959,-0.0297493586890387,0.0486524414095485,"PlDNA_7","ME-HogIs"
"6",-0.0773221103919174,-0.0717130278700761,-0.0925716869360107,-0.0234364957350282,0.0058579928060681,0.164989701237323,"PlDNA_6","ME-HogIs"
"7",-0.0831903618980189,-0.118890956497821,-0.171284159093068,-0.0168126177682356,-0.0287759348359265,-0.0152622388111495,"PlDNA_7","ME-HogIs"
"8",-0.0763369660461944,-0.164039055090718,-0.25286783275385,-0.0330544669315769,-0.0572760440141519,-0.55813133742924,"PlDNA_7","ME-HogIs"
"9",-0.0829399386867861,-0.0982087897892882,-0.145432811038712,-0.0270535534099707,-0.00813449219347876,0.061510550827849,"PlDNA_7","ME-HogIs"
"10",-0.084056944495202,-0.140728875584277,-0.216031152143657,-0.0152165488495821,-0.0307793258441332,-0.0210107079011541,"PlDNA_7","ME-HogIs"
"11",-0.0830158758449144,-0.0922494658152382,-0.132303467554654,-0.0531861804637391,0.019498309891954,0.165076407201662,"PlDNA_7","ME-HogIs"
"12",-0.0813050779734854,-0.0957309451327607,-0.110228086560617,-0.0267334589842467,-0.00577216946719816,0.124478181766349,"PlDNA_6","ME-HogIs"
"13",-0.0787690968991044,-0.0926911010886613,-0.106406326453353,-0.0136409170405067,-0.0189704371719509,0.0799176910422802,"PlDNA_7","ME-HogIs"
"14",-0.0807429468670718,-0.114581858234431,-0.146451449640502,-0.0225491547370884,-0.0284500189300434,0.0762609941659597,"PlDNA_6","ME-HogIs"
"15",-0.0823808801635766,-0.126258599628732,-0.160166395354578,-0.011111494330079,-0.0357412406842256,0.101065901543455,"PlDNA_7","ME-HogIs"
"16",-0.0792481417094685,-0.115257275429974,-0.146617060770449,-0.0189122219765568,-0.028223422332532,0.0656152076596355,"PlDNA_6","ME-HogIs"
"17",-0.0786420969020976,-0.0938968461598302,-0.106922150151158,-0.011231622076458,-0.0136219830251295,0.15074350779277,"PlDNA_7","ME-HogIs"
"18",-0.0793944031326983,-0.101503946610477,-0.117868348936396,-0.00874661262816723,-0.0208578805115984,0.189561265391713,"PlDNA_7","ME-HogIs"
"19",-0.0794173870595409,-0.0981354591867572,-0.137728907250793,-0.0147977847049277,-0.0260281522965346,0.0893710126573373,"PlDNA_7","ME-HogIs"
"20",-0.0835298428730181,-0.130605404253678,-0.18619084704152,-0.013116145184519,-0.037315207294979,0.0284007104760247,"PlDNA_6","ME-HogIs"
"21",-0.0710124965557147,-0.00948368701620889,0.0770353226698097,-0.0761911239126833,0.121822072839355,-0.0303007112510185,"PlDNA_6","NH-GrtBay"
"22",-0.0731760582151949,-0.00801471580385077,0.094406864018408,-0.097245459911634,0.152117116872511,-0.0509872972385104,"PlDNA_6","NH-GrtBay"
"23",-0.0714247564090275,-0.00341637436850318,0.0909472410369379,-0.0924289148675823,0.14350560209576,-0.0522522990783109,"PlDNA_6","NH-GrtBay"
"24",-0.0723615437460075,-0.00715688134027306,0.0931412503882627,-0.0937588559856877,0.150010180941045,-0.0476434215656454,"PlDNA_7","NH-GrtBay"
"25",-0.0738728653348489,-0.00738562294829991,0.0843470873826764,-0.0936007503337061,0.140082410375532,-0.0514729749292332,"PlDNA_13","NH-GrtBay"
"26",-0.0747445499390749,-0.0112835360739851,0.0876655120386929,-0.0947556057270803,0.148782022357638,-0.0532583860445214,"PlDNA_7","NH-GrtBay"
"27",-0.073317021228702,-0.0114646258912632,0.0653732238220257,-0.0785093987911371,0.114285619592636,-0.00657925691725002,"PlDNA_6","NH-GrtBay"
"28",-0.0723208870905364,0.00102067997363478,0.0538494661644366,-0.0682739480263681,0.100814121017937,-0.0329499909350663,"PlDNA_7","NH-GrtBay"
"29",-0.0730159718028788,-0.0112496661913747,0.0733024395398526,-0.0782950620239117,0.120475624322248,-0.0272654211369222,"PlDNA_6","NH-GrtBay"
"30",-0.0739813095429559,-0.00921851626078907,0.0919639493049225,-0.0936025340692964,0.141905424968536,-0.0409879422196796,"PlDNA_7","NH-GrtBay"
"31",-0.0723067055110031,-0.00494539464426446,0.0920607803586322,-0.0913106708714813,0.142175151528879,-0.0499730156063486,"PlDNA_6","NH-GrtBay"
"32",-0.071654522089053,-0.0065733979505246,0.0965836629727786,-0.0899209011992058,0.142389995983483,-0.0550043356751059,"PlDNA_6","NH-GrtBay"
"33",-0.0748564215464184,-0.0141631413061544,0.0686340804917049,-0.0748803315577156,0.118135236165072,-0.0202227933757144,"PlDNA_6","NH-GrtBay"
"34",-0.0740710131325925,-0.00364884812764519,0.0944537527002595,-0.0931885922445431,0.145396375998695,-0.0506652672605922,"PlDNA_6","NH-GrtBay"
"35",-0.0740893936500632,-0.0122491777728052,0.0820206083015101,-0.0840662083812148,0.133259093017019,-0.0541249136464207,"PlDNA_6","NH-GrtBay"
