"","month","Mean_Temperature","Mean_min_Temperature","Mean_max_Temperature"
"1",1,6.35811887052643,3.48,8.8495
"2",2,7.77223446019629,6.509,10.295
"3",3,11.0261958797703,8.393,13.651
"4",4,14.6426229565217,10.918,19.277
"5",5,20.1975108146348,15.6985,23.916
"6",6,24.2951779262835,20.817,28.7285
"7",7,27.3226911177457,25.081,30.075
"8",8,27.1875728422101,25.0005,30.3925
"9",9,24.9254409722222,21.758,28.835
"10",10,20.2495245460659,16.979,24.142
"11",11,15.0945552816143,10.579,18.7295
"12",12,9.04696116966965,6.8785,11.9665
