"","month","Mean_Salinity","Min_Salinity","Max_Salinity"
"1",1,32.0698700328397,23.2146393423529,35.1013703370588
"2",2,31.5437089641936,24.0422580225,35.1784844575
"3",3,31.7469951930264,24.57531830125,34.8850067125
"4",4,32.4153323825975,26.1159643693333,35.3600326346667
"5",5,34.1218990247735,28.193125512,36.7626160946667
"6",6,33.6646363240457,26.04254805125,36.619118494375
"7",7,32.3855834189698,24.7274249775,36.56183278
"8",8,32.9474707854421,23.842065848,36.9935644286667
"9",9,32.3092581890473,23.0597168647333,36.351691076
"10",10,31.1562195643066,20.8979620070667,35.1735195033333
"11",11,31.8044950903849,22.5147639547143,35.4497668442857
"12",12,31.4713022842326,21.3173741178125,35.1099642325
