"month","Mean_Salinity","Min_Salinity","Max_Salinity"
1,19.0046916076845,13.83,22.32
2,17.192915303526,15.39,19.35
3,15.0620944350759,12.1,17.91
4,15.4754852173913,12.45,19.16
5,15.3308820547482,13.74,17.24
6,17.4699023709902,14.22,20.65
7,20.2322454484154,18.62,23.65
8,22.1914215500087,20.665,24.005
9,21.3729652777778,20.365,22.66
10,21.0246049092132,20.195,22.34
11,21.7424017871839,20.875,23.22
12,21.7590712050785,19.45,23.415
