"site_name","salinity_quantile_10","salinity_quantile_90","Salinity_st_dev","temp_quantile_10","temp_quantile_90","Temperature_st_dev","lat","mean_length_mm_21","mean_length_mm_78","surv_21"
"W1-TX",5.9,36.7,11.66413094,13.8,30.5,6.385486691,28.096,0.297362424242424,12.9298724310345,3.844
"W2-LA",3,18,5.582166837,13.2,30.7,6.691385901,29.239925,0.316816609756098,11.8406029191176,3.822
"W3-FL",27.85066428,35.97585067,3.715396855,14.559,29.279,5.707664316,30.44003,0.320185384615385,13.7468897297297,2.4
"W4-VA",12.2,19.1,2.70141647539953,6.1,28.1,8.48879806824356,37.1501163,0.309829011363636,13.435561562963,3.344
"S1-LOLA",8.7,16.6,2.867123523,7.2,28.2,7.857653196,37.9803,0.318390324675325,17.9119928030303,2.028
"S2-DEBY",15.81,22.39,2.560148766,6.53,27.49,8.075056458,37.249107,0.309707835164835,14.992683795082,1.594
"W5-NH",5.9,28.6,8.320938367,7.2,24.2,6.449615505,43.053746,0.299062425287356,9.84366632828283,2.639
"W6-ME",26.29,31.48,2.277877961,7.563,21.5,5.22149722,44.0133,0.328750012048193,13.8596156091954,0.419
