"site_name","bag_label","bag_site","t1_surv","t2_surv","t3_surv","Mean_Annual_Temperature_C","Mean_Annual_Salinity_ppt","lat","avg_observed_ho","avg_expected_hs","avg_allelic_richness"
"W1-TX","MVP-TX-1","Lewisetta",0.891549295774648,0.879577464788732,0.651261612226551,23.1054088188906,20.8578965409594,28.096,0.419839177949065,0.302033225987785,2.40545175643359
"W1-TX","MVP-TX-2","Lewisetta",0.962491153573956,0.949752300070771,0.832548824742889,23.1054088188906,20.8578965409594,28.096,0.419839177949065,0.302033225987785,2.40545175643359
"W1-TX","MVP-TX-3","Lewisetta",0.88317107093185,0.864394993045897,0.772438078892078,23.1054088188906,20.8578965409594,28.096,0.419839177949065,0.302033225987785,2.40545175643359
"W1-TX","MVP-TX-4","York",0.915620641562064,0.758019525801953,0.36449449538562,23.1054088188906,20.8578965409594,28.096,0.419839177949065,0.302033225987785,2.40545175643359
"W1-TX","MVP-TX-5","York",0.953188602442334,0.746268656716418,0.520800254048904,23.1054088188906,20.8578965409594,28.096,0.419839177949065,0.302033225987785,2.40545175643359
"W1-TX","MVP-TX-6","York",0.935028248587571,0.734463276836158,0.440677966101695,23.1054088188906,20.8578965409594,28.096,0.419839177949065,0.302033225987785,2.40545175643359
"W2-LA","MVP-LA-1","Lewisetta",0.941097724230254,0.914323962516734,0.890979520920562,22.8635853411622,10.464868596882,29.239925,0.419618986823175,0.30156614899435,2.39787857393932
"W2-LA","MVP-LA-2","Lewisetta",0.960979342004591,0.938026013771997,0.914076413420371,22.8635853411622,10.464868596882,29.239925,0.419618986823175,0.30156614899435,2.39787857393932
"W2-LA","MVP-LA-4","York",0.916952642415923,0.667810569663693,0.255757239445669,22.8635853411622,10.464868596882,29.239925,0.419618986823175,0.30156614899435,2.39787857393932
"W2-LA","MVP-LA-5","York",0.851233671988389,0.709724238026125,0.383553098848161,22.8635853411622,10.464868596882,29.239925,0.419618986823175,0.30156614899435,2.39787857393932
"W2-LA","MVP-LA-6","York",0.915107913669065,0.686330935251799,0.289135159957141,22.8635853411622,10.464868596882,29.239925,0.419618986823175,0.30156614899435,2.39787857393932
"W3-FL","MVP-FL-1","Lewisetta",0.932922127987664,0.876638396299152,0.845329882145611,22.1556673008222,32.3522536547562,30.44003,0.393044770715626,0.291400859399564,2.43088207519345
"W3-FL","MVP-FL-2","Lewisetta",0.752730109204368,0.709828393135726,0.616191456168885,22.1556673008222,32.3522536547562,30.44003,0.393044770715626,0.291400859399564,2.43088207519345
"W3-FL","MVP-FL-3","Lewisetta",0.843925985518906,0.743362831858407,0.676934663905103,22.1556673008222,32.3522536547562,30.44003,0.393044770715626,0.291400859399564,2.43088207519345
"W3-FL","MVP-FL-4","York",0.979623824451411,0.846394984326019,0.60868405255786,22.1556673008222,32.3522536547562,30.44003,0.393044770715626,0.291400859399564,2.43088207519345
"W3-FL","MVP-FL-5","York",0.964365256124722,0.801039346696362,0.521527744870398,22.1556673008222,32.3522536547562,30.44003,0.393044770715626,0.291400859399564,2.43088207519345
"W3-FL","MVP-FL-6","York",0.961363636363636,0.793181818181818,0.533288201160542,22.1556673008222,32.3522536547562,30.44003,0.393044770715626,0.291400859399564,2.43088207519345
"S1-LOLA","MVP-LOLA-1","Lewisetta",0.921551724137931,0.860344827586207,0.743191489361702,16.9039561007101,13.837441457832,37.1501163,0.410116929790295,0.297894389130787,2.38590892324612
"S1-LOLA","MVP-LOLA-2","Lewisetta",0.921003717472119,0.866171003717472,0.777710986316539,16.9039561007101,13.837441457832,37.1501163,0.410116929790295,0.297894389130787,2.38590892324612
"S1-LOLA","MVP-LOLA-3","Lewisetta",0.946750902527076,0.88086642599278,0.775912128427683,16.9039561007101,13.837441457832,37.1501163,0.410116929790295,0.297894389130787,2.38590892324612
"S1-LOLA","MVP-LOLA-4","York",0.892320534223706,0.734557595993322,0.281319930380421,16.9039561007101,13.837441457832,37.1501163,0.410116929790295,0.297894389130787,2.38590892324612
"S1-LOLA","MVP-LOLA-5","York",0.854606931530008,0.622147083685545,0.338871603028723,16.9039561007101,13.837441457832,37.1501163,0.410116929790295,0.297894389130787,2.38590892324612
"S1-LOLA","MVP-LOLA-6","York",0.909604519774011,0.751412429378531,0.33893496814521,16.9039561007101,13.837441457832,37.1501163,0.410116929790295,0.297894389130787,2.38590892324612
"S2-DEBY","MVP-DEBY-1","Lewisetta",0.924455825864277,0.802176696542894,0.679290053668238,17.1242424156129,19.3391307162995,37.9803,0.399172041883819,0.292059159465305,2.36783344682234
"S2-DEBY","MVP-DEBY-2","Lewisetta",0.645569620253165,0.622251832111925,0.548111188285824,17.1242424156129,19.3391307162995,37.9803,0.399172041883819,0.292059159465305,2.36783344682234
"S2-DEBY","MVP-DEBY-4","York",0.808847624249044,0.676679410158383,0.492392251647164,17.1242424156129,19.3391307162995,37.9803,0.399172041883819,0.292059159465305,2.36783344682234
"S2-DEBY","MVP-DEBY-5","York",0.896036760482481,0.682366456059736,0.479108362765346,17.1242424156129,19.3391307162995,37.9803,0.399172041883819,0.292059159465305,2.36783344682234
"S2-DEBY","MVP-DEBY-6","York",0.867808219178082,0.618493150684931,0.505322063538327,17.1242424156129,19.3391307162995,37.9803,0.399172041883819,0.292059159465305,2.36783344682234
"W4-VA","MVP-JR-1","Lewisetta",0.878636741479634,0.7190357439734,0.57216886860862,18.5346352267756,15.2082260828351,37.249107,0.393744104728603,0.294250361576646,2.46206251639253
