"site_name","bag_label","bag_site","monitoring_event","length","Mean_Annual_Temperature_C","Mean_Annual_Salinity_ppt","lat","avg_observed_ho","avg_expected_hs","avg_allelic_richness"
"W1-TX","MVP-TX-1","Lewisetta",1,36.72093023,23.1054088188906,20.8578965409594,28.096,0.419839177949065,0.302033225987785,2.40545175643359
"W1-TX","MVP-TX-2","Lewisetta",1,38.94871795,23.1054088188906,20.8578965409594,28.096,0.419839177949065,0.302033225987785,2.40545175643359
"W1-TX","MVP-TX-3","Lewisetta",1,35.66666667,23.1054088188906,20.8578965409594,28.096,0.419839177949065,0.302033225987785,2.40545175643359
"W1-TX","MVP-TX-4","York",1,31.04545455,23.1054088188906,20.8578965409594,28.096,0.419839177949065,0.302033225987785,2.40545175643359
"W1-TX","MVP-TX-5","York",1,28.95555556,23.1054088188906,20.8578965409594,28.096,0.419839177949065,0.302033225987785,2.40545175643359
"W1-TX","MVP-TX-6","York",1,31.25,23.1054088188906,20.8578965409594,28.096,0.419839177949065,0.302033225987785,2.40545175643359
"W1-TX","MVP-TX-1","Lewisetta",2,44.43589744,23.1054088188906,20.8578965409594,28.096,0.419839177949065,0.302033225987785,2.40545175643359
"W1-TX","MVP-TX-2","Lewisetta",2,45.74358974,23.1054088188906,20.8578965409594,28.096,0.419839177949065,0.302033225987785,2.40545175643359
"W1-TX","MVP-TX-3","Lewisetta",2,43.09756098,23.1054088188906,20.8578965409594,28.096,0.419839177949065,0.302033225987785,2.40545175643359
"W1-TX","MVP-TX-4","York",2,37.05128205,23.1054088188906,20.8578965409594,28.096,0.419839177949065,0.302033225987785,2.40545175643359
"W1-TX","MVP-TX-5","York",2,36.4,23.1054088188906,20.8578965409594,28.096,0.419839177949065,0.302033225987785,2.40545175643359
"W1-TX","MVP-TX-6","York",2,37.65,23.1054088188906,20.8578965409594,28.096,0.419839177949065,0.302033225987785,2.40545175643359
"W1-TX","MVP-TX-1","Lewisetta",3,62.44444444,23.1054088188906,20.8578965409594,28.096,0.419839177949065,0.302033225987785,2.40545175643359
"W1-TX","MVP-TX-2","Lewisetta",3,65.77777778,23.1054088188906,20.8578965409594,28.096,0.419839177949065,0.302033225987785,2.40545175643359
"W1-TX","MVP-TX-3","Lewisetta",3,68.21621622,23.1054088188906,20.8578965409594,28.096,0.419839177949065,0.302033225987785,2.40545175643359
"W1-TX","MVP-TX-4","York",3,38.4516129,23.1054088188906,20.8578965409594,28.096,0.419839177949065,0.302033225987785,2.40545175643359
"W1-TX","MVP-TX-5","York",3,36.84,23.1054088188906,20.8578965409594,28.096,0.419839177949065,0.302033225987785,2.40545175643359
"W1-TX","MVP-TX-6","York",3,35.88,23.1054088188906,20.8578965409594,28.096,0.419839177949065,0.302033225987785,2.40545175643359
"W2-LA","MVP-LA-1","Lewisetta",1,36.525,22.8635853411622,10.464868596882,29.239925,0.419618986823175,0.30156614899435,2.39787857393932
"W2-LA","MVP-LA-2","Lewisetta",1,37.65,22.8635853411622,10.464868596882,29.239925,0.419618986823175,0.30156614899435,2.39787857393932
"W2-LA","MVP-LA-3","Lewisetta",1,36.76744186,22.8635853411622,10.464868596882,29.239925,0.419618986823175,0.30156614899435,2.39787857393932
"W2-LA","MVP-LA-4","York",1,26.61904762,22.8635853411622,10.464868596882,29.239925,0.419618986823175,0.30156614899435,2.39787857393932
"W2-LA","MVP-LA-5","York",1,27.2173913,22.8635853411622,10.464868596882,29.239925,0.419618986823175,0.30156614899435,2.39787857393932
"W2-LA","MVP-LA-6","York",1,29.65116279,22.8635853411622,10.464868596882,29.239925,0.419618986823175,0.30156614899435,2.39787857393932
"W2-LA","MVP-LA-1","Lewisetta",2,41.22222222,22.8635853411622,10.464868596882,29.239925,0.419618986823175,0.30156614899435,2.39787857393932
"W2-LA","MVP-LA-2","Lewisetta",2,41.58974359,22.8635853411622,10.464868596882,29.239925,0.419618986823175,0.30156614899435,2.39787857393932
"W2-LA","MVP-LA-3","Lewisetta",2,42.1,22.8635853411622,10.464868596882,29.239925,0.419618986823175,0.30156614899435,2.39787857393932
"W2-LA","MVP-LA-4","York",2,32.475,22.8635853411622,10.464868596882,29.239925,0.419618986823175,0.30156614899435,2.39787857393932
"W2-LA","MVP-LA-5","York",2,33.3,22.8635853411622,10.464868596882,29.239925,0.419618986823175,0.30156614899435,2.39787857393932
"W2-LA","MVP-LA-6","York",2,33.725,22.8635853411622,10.464868596882,29.239925,0.419618986823175,0.30156614899435,2.39787857393932
"W2-LA","MVP-LA-1","Lewisetta",3,87.17647059,22.8635853411622,10.464868596882,29.239925,0.419618986823175,0.30156614899435,2.39787857393932
"W2-LA","MVP-LA-2","Lewisetta",3,68.48648649,22.8635853411622,10.464868596882,29.239925,0.419618986823175,0.30156614899435,2.39787857393932
"W2-LA","MVP-LA-3","Lewisetta",3,72.36111111,22.8635853411622,10.464868596882,29.239925,0.419618986823175,0.30156614899435,2.39787857393932
"W2-LA","MVP-LA-4","York",3,39.28571429,22.8635853411622,10.464868596882,29.239925,0.419618986823175,0.30156614899435,2.39787857393932
"W2-LA","MVP-LA-5","York",3,40.7037037,22.8635853411622,10.464868596882,29.239925,0.419618986823175,0.30156614899435,2.39787857393932
"W2-LA","MVP-LA-6","York",3,33.94736842,22.8635853411622,10.464868596882,29.239925,0.419618986823175,0.30156614899435,2.39787857393932
"W3-FL","MVP-FL-1","Lewisetta",1,35.85,22.1556673008222,32.3522536547562,30.44003,0.393044770715626,0.291400859399564,2.43088207519345
