"","W1-TX","W2-LA","W3-FL","S1-LOLA","S2-DEBY","W4-VA","W5-NH","W6-ME"
"W1-TX",0,7.13515672225387,11.7654725909208,16.2322458719277,10.1218469639206,12.9769815046316,8.96915306659319,9.81111747997015
"W2-LA",7.13515672225387,0,18.866892772597,15.6322097166396,12.9722542937523,14.7490427537782,8.7887227813098,14.0931655055504
"W3-FL",11.7654725909208,18.866892772597,0,22.9096467162906,14.9252156588875,17.966379177382,18.1286047279186,13.0067224527403
"S1-LOLA",16.2322458719277,15.6322097166396,22.9096467162906,0,9.48110272261493,6.42767819235254,16.0529691943708,14.762306341504
"S2-DEBY",10.1218469639206,12.9722542937523,14.9252156588875,9.48110272261493,0,4.27270978625797,13.5095901013441,10.7590670086279
"W4-VA",12.9769815046316,14.7490427537782,17.966379177382,6.42767819235254,4.27270978625797,0,13.8715817784298,10.8572202874223
"W5-NH",8.96915306659319,8.7887227813098,18.1286047279186,16.0529691943708,13.5095901013441,13.8715817784298,0,8.70217181337381
"W6-ME",9.81111747997015,14.0931655055504,13.0067224527403,14.762306341504,10.7590670086279,10.8572202874223,8.70217181337381,0
