"month","Mean_Salinity","Min_Salinity","Max_Salinity"
3,26.8599423814315,12.97,29.385
4,26.9851122389376,6.795,29.1075
5,28.2344758064516,20.215,29.8775
6,29.6250217134823,17.126,30.488
7,29.8036069758304,23.4233333333333,30.575
8,30.580193397796,20.924,31.152
9,31.0490116902153,24.2716666666667,31.53
10,26.255726803795,23.9785714285714,27.0542857142857
11,28.2175880200996,19.16,30.4883333333333
12,27.1318791946309,24.32,29.05
