"","W1-TX","W2-LA","W3-FL","W4-VA","S1-LOLA","S2-DEBY","W5-NH","W6-ME","LEW","YRK"
"W1-TX",0,2.44062586529316,2.61288108901241,3.35212710148519,3.75548565332225,3.19232135758943,3.11327779094154,4.43031279535452,3.21791012395376,2.89299582602268
"W2-LA",2.44062586529316,0,3.76952450351561,2.47647948771323,2.6387675689602,2.7367177085531,3.20881347106675,4.87944989949921,1.951640130066,2.47389124027536
"W3-FL",2.61288108901241,3.76952450351561,0,3.75021476340945,4.38394475150939,3.26948616935306,3.89552895363764,3.47368247128978,3.94574504639734,2.98313744094632
"W4-VA",3.35212710148519,2.47647948771323,3.75021476340945,0,0.657820400115667,0.648282635480817,2.01997233633946,3.31510372336473,0.663226725273583,0.859276392303645
"S1-LOLA",3.75548565332225,2.6387675689602,4.38394475150939,0.657820400115667,0,1.24229029585521,2.12188061979108,3.69370116164815,0.709138478661263,1.45287873364617
"S2-DEBY",3.19232135758943,2.7367177085531,3.26948616935306,0.648282635480817,1.24229029585521,0,1.84382560744858,2.74554829898195,1.20173170927542,0.423956073699002
"W5-NH",3.11327779094154,3.20881347106675,3.89552895363764,2.01997233633946,2.12188061979108,1.84382560744858,0,2.59953675721389,2.12099002174303,1.76766648666518
"W6-ME",4.43031279535452,4.87944989949921,3.47368247128978,3.31510372336473,3.69370116164815,2.74554829898195,2.59953675721389,0,3.74788562392286,2.69624414355844
"LEW",3.21791012395376,1.951640130066,3.94574504639734,0.663226725273583,0.709138478661263,1.20173170927542,2.12099002174303,3.74788562392286,0,1.21055219814004
"YRK",2.89299582602268,2.47389124027536,2.98313744094632,0.859276392303645,1.45287873364617,0.423956073699002,1.76766648666518,2.69624414355844,1.21055219814004,0
