"","bag_site","pop","t","bags_label","tags_label","length","width"
"91","Lewisetta","W6-ME",1,"MVP-ME-1","B322",31,23
"92","Lewisetta","W6-ME",2,"MVP-ME-1","B322",38,26
"93","Lewisetta","W6-ME",3,"MVP-ME-1","B322",39,26
"94","Lewisetta","W6-ME",1,"MVP-ME-1","B320",24,19
"95","Lewisetta","W6-ME",2,"MVP-ME-1","B320",32,26
"96","Lewisetta","W6-ME",3,"MVP-ME-1","B320",62,45
"97","Lewisetta","W6-ME",1,"MVP-ME-1","D727",28,18
"98","Lewisetta","W6-ME",2,"MVP-ME-1","D727",34,28
"99","Lewisetta","W6-ME",3,"MVP-ME-1","D727",45,32
"100","Lewisetta","W6-ME",1,"MVP-ME-1","B411",33,26
"101","Lewisetta","W6-ME",2,"MVP-ME-1","B411",44,27
"102","Lewisetta","W6-ME",3,"MVP-ME-1","B411",40,26
"103","Lewisetta","W6-ME",1,"MVP-ME-1","B311",22,19
"104","Lewisetta","W6-ME",2,"MVP-ME-1","B311",35,29
"105","Lewisetta","W6-ME",3,"MVP-ME-1","B311",49,36
"106","Lewisetta","W6-ME",1,"MVP-ME-1","B416",39,27
"107","Lewisetta","W6-ME",2,"MVP-ME-1","B416",43,32
"108","Lewisetta","W6-ME",3,"MVP-ME-1","B416",60,47
"109","Lewisetta","W6-ME",1,"MVP-ME-1","B418",33,22
"110","Lewisetta","W6-ME",2,"MVP-ME-1","B418",43,30
"111","Lewisetta","W6-ME",3,"MVP-ME-1","B418",67,50
"112","Lewisetta","W6-ME",1,"MVP-ME-1","D730",28,20
"113","Lewisetta","W6-ME",2,"MVP-ME-1","D730",31,20
"114","Lewisetta","W6-ME",3,"MVP-ME-1","D730",44,32
"115","Lewisetta","W6-ME",1,"MVP-ME-1","D779",41,23
"116","Lewisetta","W6-ME",2,"MVP-ME-1","D779",49,35
"117","Lewisetta","W6-ME",3,"MVP-ME-1","D779",45,29
"118","Lewisetta","W6-ME",1,"MVP-ME-1","B313",25,18
"119","Lewisetta","W6-ME",2,"MVP-ME-1","B313",30,25
"120","Lewisetta","W6-ME",3,"MVP-ME-1","B313",53,48
