"resid_surv","dist","surv","t","pop","bag_site"
0.0302242767933357,0.639991809587732,0.946750902527076,1,"S1-LOLA","Lewisetta"
0.00502509840419319,0.639991809587732,0.921551724137931,1,"S1-LOLA","Lewisetta"
0.00447709173838117,0.639991809587732,0.921003717472119,1,"S1-LOLA","Lewisetta"
-0.154725558016497,1.16009953843626,0.645569620253165,1,"S2-DEBY","Lewisetta"
-0.0199178197790958,1.16009953843626,0.780377358490566,1,"S2-DEBY","Lewisetta"
0.124160647594615,1.16009953843626,0.924455825864277,1,"S2-DEBY","Lewisetta"
-0.029480303478863,3.30346437804724,0.891549295774648,1,"W1-TX","Lewisetta"
0.0414615543204449,3.30346437804724,0.962491153573956,1,"W1-TX","Lewisetta"
-0.0378585283216611,3.30346437804724,0.88317107093185,1,"W1-TX","Lewisetta"
0.0424547291809933,2.04729590526288,0.960979342004591,1,"W2-LA","Lewisetta"
0.0225731114066563,2.04729590526288,0.941097724230254,1,"W2-LA","Lewisetta"
-0.0425098526759966,2.04729590526288,0.876014760147601,1,"W2-LA","Lewisetta"
0.234635443068172,3.96491180248768,0.932922127987664,1,"W3-FL","Lewisetta"
0.0544434242848757,3.96491180248768,0.752730109204368,1,"W3-FL","Lewisetta"
0.145639300599414,3.96491180248768,0.843925985518906,1,"W3-FL","Lewisetta"
-0.0776446798773198,0.608393951442816,0.684638860630722,1,"W4-VA","Lewisetta"
-0.22976321530479,0.608393951442816,0.532520325203252,1,"W4-VA","Lewisetta"
0.116353200971592,0.608393951442816,0.878636741479634,1,"W4-VA","Lewisetta"
-0.0921212452927219,2.12446081892112,0.562717770034843,1,"W5-NH","Lewisetta"
-0.113630224118774,2.12446081892112,0.541208791208791,1,"W5-NH","Lewisetta"
-0.0299525484792449,2.12446081892112,0.62488646684832,1,"W5-NH","Lewisetta"
-0.211840259768237,3.69458206026551,0.367952522255193,1,"W6-ME","Lewisetta"
0.257524103096077,3.69458206026551,0.837316885119507,1,"W6-ME","Lewisetta"
-0.0395277463455498,3.69458206026551,0.54026503567788,1,"W6-ME","Lewisetta"
-0.0102998365468477,0.639991809587732,0.88086642599278,2,"S1-LOLA","Lewisetta"
-0.0308214349534185,0.639991809587732,0.860344827586207,2,"S1-LOLA","Lewisetta"
-0.0249952588221535,0.639991809587732,0.866171003717472,2,"S1-LOLA","Lewisetta"
-0.123706349039268,1.16009953843626,0.622251832111925,2,"S2-DEBY","Lewisetta"
0.0562185153917014,1.16009953843626,0.802176696542894,2,"S2-DEBY","Lewisetta"
0.0449852150752224,1.16009953843626,0.790943396226415,2,"S2-DEBY","Lewisetta"
-0.0382080921161258,3.30346437804724,0.879577464788732,2,"W1-TX","Lewisetta"
0.0319667431659132,3.30346437804724,0.949752300070771,2,"W1-TX","Lewisetta"
-0.0533905638589609,3.30346437804724,0.864394993045897,2,"W1-TX","Lewisetta"
0.0218533614275426,2.04729590526288,0.938026013771997,2,"W2-LA","Lewisetta"
-0.00184868982772043,2.04729590526288,0.914323962516734,2,"W2-LA","Lewisetta"
0.105967569057756,2.04729590526288,1.02214022140221,2,"W2-LA","Lewisetta"
0.257136723124484,3.96491180248768,0.876638396299152,2,"W3-FL","Lewisetta"
0.0903267199610576,3.96491180248768,0.709828393135726,2,"W3-FL","Lewisetta"
0.123861158683739,3.96491180248768,0.743362831858407,2,"W3-FL","Lewisetta"
-0.0210954373653787,0.608393951442816,0.659206510681587,2,"W4-VA","Lewisetta"
-0.179285687884364,0.608393951442816,0.501016260162602,2,"W4-VA","Lewisetta"
0.0387337959264343,0.608393951442816,0.7190357439734,2,"W4-VA","Lewisetta"
-0.0867176094702724,2.12446081892112,0.494773519163763,2,"W5-NH","Lewisetta"
-0.10621640335931,2.12446081892112,0.475274725274725,2,"W5-NH","Lewisetta"
-0.0928444438020644,2.12446081892112,0.488646684831971,2,"W5-NH","Lewisetta"
-0.173295516850926,3.69458206026551,0.330365974282888,2,"W6-ME","Lewisetta"
0.174827329220851,3.69458206026551,0.678488820354665,2,"W6-ME","Lewisetta"
-0.00315180713789064,3.69458206026551,0.500509683995923,2,"W6-ME","Lewisetta"
-0.107436653297224,0.639991809587732,0.88086642599278,3,"S1-LOLA","Lewisetta"
-0.0747160142312381,0.639991809587732,0.860344827586207,3,"S1-LOLA","Lewisetta"
-0.0729171563423819,0.639991809587732,0.866171003717472,3,"S1-LOLA","Lewisetta"
-0.0911470696235569,1.16009953843626,0.622251832111925,3,"S2-DEBY","Lewisetta"
0.104565106201418,1.16009953843626,0.802176696542894,3,"S2-DEBY","Lewisetta"
0.0400317957588572,1.16009953843626,0.790943396226415,3,"S2-DEBY","Lewisetta"
-0.157960407298575,3.30346437804724,0.879577464788732,3,"W1-TX","Lewisetta"
0.0233268052177632,3.30346437804724,0.949752300070771,3,"W1-TX","Lewisetta"
-0.0367839406330478,3.30346437804724,0.864394993045897,3,"W1-TX","Lewisetta"
0.112992490930044,2.04729590526288,0.938026013771997,3,"W2-LA","Lewisetta"
0.0898955984302347,2.04729590526288,0.914323962516734,3,"W2-LA","Lewisetta"
0.160162838913457,2.04729590526288,1.02214022140221,3,"W2-LA","Lewisetta"
0.393898483384393,3.96491180248768,0.876638396299152,3,"W3-FL","Lewisetta"
0.164760057407667,3.96491180248768,0.709828393135726,3,"W3-FL","Lewisetta"
0.225503265143885,3.96491180248768,0.743362831858407,3,"W3-FL","Lewisetta"
-0.0155596412973017,0.608393951442816,0.659206510681587,3,"W4-VA","Lewisetta"
-0.154676623596105,0.608393951442816,0.501016260162602,3,"W4-VA","Lewisetta"
