"","bag","monitoring_event","length"
"147","MVP-SEEDMIX-1",3,68.1578947368421
"148","MVP-SEEDMIX-2",1,32.9318181818182
"149","MVP-SEEDMIX-2",2,42.7179487179487
"150","MVP-SEEDMIX-2",3,68.8571428571429
"151","MVP-SEEDMIX-3",1,37.75
"152","MVP-SEEDMIX-3",2,41
"153","MVP-SEEDMIX-3",3,69.3055555555556
"154","MVP-SEEDMIX-4",1,30.4090909090909
"155","MVP-SEEDMIX-4",2,34.4
"156","MVP-SEEDMIX-4",3,50.8888888888889
"157","MVP-SEEDMIX-5",1,28.3181818181818
"158","MVP-SEEDMIX-5",2,35.55
"159","MVP-SEEDMIX-5",3,52.25
"160","MVP-SEEDMIX-6",1,29.9333333333333
"161","MVP-SEEDMIX-6",2,38
"162","MVP-SEEDMIX-6",3,54.3333333333333
"163","MVP-TX-1",1,36.7209302325581
"164","MVP-TX-1",2,44.4358974358974
"165","MVP-TX-1",3,66.1176470588235
"166","MVP-TX-2",1,38.948717948718
"167","MVP-TX-2",2,45.7435897435897
"168","MVP-TX-2",3,69.6470588235294
"169","MVP-TX-3",1,35.6666666666667
"170","MVP-TX-3",2,43.0975609756098
"171","MVP-TX-3",3,68.2162162162162
"172","MVP-TX-4",1,31.0454545454545
"173","MVP-TX-4",2,37.051282051282
"174","MVP-TX-4",3,44.1481481481481
"175","MVP-TX-5",1,28.9555555555556
"176","MVP-TX-5",2,36.4
"177","MVP-TX-5",3,48.4736842105263
"178","MVP-TX-6",1,31.25
"179","MVP-TX-6",2,37.65
"180","MVP-TX-6",3,44.85
