"","bag_site","pop","bags_label","t","surv"
"86","Lewisetta","H1-HYBRIDMIX","MVP-LARMIX-2",2,0.837308347529813
"87","Lewisetta","H1-HYBRIDMIX","MVP-LARMIX-3",2,0.835273052820054
"88","YorkRiver","H1-HYBRIDMIX","MVP-LARMIX-4",2,0.68655462184874
"89","YorkRiver","H1-HYBRIDMIX","MVP-LARMIX-5",2,0.62092050209205
"90","YorkRiver","H1-HYBRIDMIX","MVP-LARMIX-6",2,0.756633119853614
"91","Lewisetta","S1-LOLA","MVP-LOLA-1",2,0.860344827586207
"92","Lewisetta","S1-LOLA","MVP-LOLA-2",2,0.866171003717472
"93","Lewisetta","S1-LOLA","MVP-LOLA-3",2,0.88086642599278
"94","YorkRiver","S1-LOLA","MVP-LOLA-4",2,0.734557595993322
"95","YorkRiver","S1-LOLA","MVP-LOLA-5",2,0.622147083685545
"96","YorkRiver","S1-LOLA","MVP-LOLA-6",2,0.751412429378531
"97","Lewisetta","W6-ME","MVP-ME-1",2,0.500509683995923
"98","Lewisetta","W6-ME","MVP-ME-2",2,0.330365974282888
"99","Lewisetta","W6-ME","MVP-ME-3",2,0.678488820354665
"100","YorkRiver","W6-ME","MVP-ME-4",2,0.566390041493776
"101","YorkRiver","W6-ME","MVP-ME-5",2,0.527861445783133
"102","YorkRiver","W6-ME","MVP-ME-6",2,0.537489469250211
"103","Lewisetta","W5-NH","MVP-NH-1",2,0.494773519163763
"104","Lewisetta","W5-NH","MVP-NH-2",2,0.475274725274725
"105","Lewisetta","W5-NH","MVP-NH-3",2,0.488646684831971
"106","YorkRiver","W5-NH","MVP-NH-4",2,0.301840490797546
"107","YorkRiver","W5-NH","MVP-NH-5",2,0.456607495069034
"108","YorkRiver","W5-NH","MVP-NH-6",2,0.561170212765957
"109","Lewisetta","H2-SEEDMIX","MVP-SEEDMIX-1",2,0.744483985765125
"110","Lewisetta","H2-SEEDMIX","MVP-SEEDMIX-2",2,0.792514239218877
"111","Lewisetta","H2-SEEDMIX","MVP-SEEDMIX-3",2,0.740673339399454
"112","YorkRiver","H2-SEEDMIX","MVP-SEEDMIX-4",2,0.597513597513598
"113","YorkRiver","H2-SEEDMIX","MVP-SEEDMIX-5",2,0.671729957805907
"114","YorkRiver","H2-SEEDMIX","MVP-SEEDMIX-6",2,0.650238473767885
"115","Lewisetta","W1-TX","MVP-TX-1",2,0.879577464788732
"116","Lewisetta","W1-TX","MVP-TX-2",2,0.949752300070771
"117","Lewisetta","W1-TX","MVP-TX-3",2,0.864394993045897
"118","YorkRiver","W1-TX","MVP-TX-4",2,0.758019525801953
"119","YorkRiver","W1-TX","MVP-TX-5",2,0.746268656716418
"120","YorkRiver","W1-TX","MVP-TX-6",2,0.734463276836158
"121","Lewisetta","S2-DEBY","MVP-DEBY-1",3,0.679290053668238
"122","Lewisetta","S2-DEBY","MVP-DEBY-2",3,0.548111188285824
"123","Lewisetta","S2-DEBY","MVP-DEBY-3",3,0.743823364110799
"124","YorkRiver","S2-DEBY","MVP-DEBY-4",3,0.492392251647164
"125","YorkRiver","S2-DEBY","MVP-DEBY-5",3,0.479108362765346
"126","YorkRiver","S2-DEBY","MVP-DEBY-6",3,0.505322063538327
"127","Lewisetta","W3-FL","MVP-FL-1",3,0.845329882145611
"128","Lewisetta","W3-FL","MVP-FL-2",3,0.616191456168885
