"month","Mean_Temperature","Mean_min_Temperature","Mean_max_Temperature"
1,5.9024667252954,1.07395683108108,8.44049479761905
2,7.17133569703225,6.11322973230089,9.48225628097345
3,10.6872444695969,8.51822786267606,12.8884509712389
4,15.2082335363242,11.4687848409091,19.8156030227273
5,21.4310164547346,18.7179989027094,24.6554398525641
6,26.3194562566433,23.1309245304878,28.66787575
7,28.9791270056696,26.8195747791262,30.9182488843284
8,27.814799720934,25.5371426985486,30.0762336292341
9,24.5090846715714,21.4176841301738,28.5637389672131
10,19.3841387567127,15.850184741684,22.6722090833333
11,12.8291768296106,7.14995337557078,16.1084008641553
12,8.56346881127413,7.07699592167382,10.2004229198113
