Population,avg_observed_ho,avg_expected_hs,avg_allelic_richness
W1-TX,0.2253680228590931,0.25249995202149467,1.8690407964707927
W2-LA,0.22624361139543078,0.2599508177669739,1.8577431416690766
W3-FL,0.2331230979187994,0.2730984540259307,1.8680810439404583
W4-VA,0.23698563630161149,0.2742378358495383,1.9429096381658848
S1-LOLA,0.2276579484390991,0.2425697820709661,1.8212750227850856
S2-DEBY,0.23366341372398514,0.2669085924172641,1.8991111914326964
W5-NH,0.23135619242579314,0.26586485201296545,1.8327649877506256
W6-ME,0.2295194984646955,0.25751991960934945,1.8722927856486002
SEEDMIX,0.23094415195325793,0.2782232173319686,1.9528310854156516
HYBRIDMIX,0.2406028467246655,0.2813095551859434,1.956270282097634
